[62,16,24,4,1]}}
[55,9,5,2,0]}}
[49,7,7,2,1]}}
[58,15,15,4,1]}}
[60,14,20,5,1]}}
[59,16,26,4,2]}}
[56,1,1,0,0]}}
[58,1,1,0,0]}}
[60,3,1,0,0]}}
[65,4,1,0,0]}}
[70,4,1,0,0]}}
[63,5,1,0,0]}}
[66,10,2,0,0]}}
[71,16,5,0,0]}}
[62,22,7,0,0]}}
[61,20,4,0,0]}}
[63,29,5,0,0]}}
[56,30,6,0,0]}}
[57,37,6,0,0]}}
[55,29,4,0,0]}}
[27,75,48,2,0]}}
[40,76,37,2,0]}}
[51,24,12,2,0]}}
[59,22,14,1,0]}}
[54,25,14,1,0]}}
[49,32,18,2,0]}}
[51,28,25,2,0]}}
[58,61,42,3,0]}}
[52,1,1,0,1]}}
[45,1,0,0,1]}}
[52,7,17,0,0]}}
[49,8,11,0,1]}}
[58,8,15,0,1]}}
[56,23,17,1,1]}}
[50,39,23,0,1]}}
[25,46,12,0,1]}}
[17,40,11,0,0]}}
[12,59,9,0,0]}}
[19,57,25,1,1]}}
[16,25,35,0,1]}}
[57,31,46,0,1]}}
[61,4,6,0,0]}}
[61,4,3,0,0]}}
[63,13,8,1,0]}}
[64,22,15,1,0]}}
[48,0,2,0,0]}}
[55,0,10,0,1]}}
[51,1,2,0,0]}}
[54,1,4,0,0]}}
[54,1,13,0,0]}}
[53,7,0,2,0]}}
[53,3,0,0,0]}}
[65,4,0,0,0]}}
[68,4,0,1,0]}}
[79,2,1,1,0]}}
[58,1,3,0,0]}}
[59,1,2,0,0]}}
[67,0,5,0,0]}}
[66,0,4,0,0]}}
[78,13,21,3,0]}}
[57,17,10,1,0]}}
[54,4,12,0,0]}}
[47,2,23,0,0]}}
[63,3,19,0,0]}}
[26,2,23,0,0]}}
{Request Was Not Found}
[58,2,1,2,0]}}
[68,5,2,3,1]}}
[67,6,2,4,2]}}
[66,9,2,4,3]}}
[63,12,1,5,5]}}
[66,15,2,5,6]}}
[55,9,5,2,0]}}
[49,7,7,2,1]}}
[58,15,15,4,1]}}
[60,14,20,5,1]}}
[59,16,26,4,2]}}
[56,1,1,0,0]}}
[58,1,1,0,0]}}
[60,3,1,0,0]}}
[65,4,1,0,0]}}
[70,4,1,0,0]}}
[63,5,1,0,0]}}
[66,10,2,0,0]}}
[71,16,5,0,0]}}
[62,22,7,0,0]}}
[61,20,4,0,0]}}
[63,29,5,0,0]}}
[56,30,6,0,0]}}
[57,37,6,0,0]}}
[55,29,4,0,0]}}
[27,75,48,2,0]}}
[40,76,37,2,0]}}
[51,24,12,2,0]}}
[59,22,14,1,0]}}
[54,25,14,1,0]}}
[49,32,18,2,0]}}
[51,28,25,2,0]}}
[58,61,42,3,0]}}
[52,1,1,0,1]}}
[45,1,0,0,1]}}
[52,7,17,0,0]}}
[49,8,11,0,1]}}
[58,8,15,0,1]}}
[56,23,17,1,1]}}
[50,39,23,0,1]}}
[25,46,12,0,1]}}
[17,40,11,0,0]}}
[12,59,9,0,0]}}
[19,57,25,1,1]}}
[16,25,35,0,1]}}
[57,31,46,0,1]}}
[61,4,6,0,0]}}
[61,4,3,0,0]}}
[63,13,8,1,0]}}
[64,22,15,1,0]}}
[48,0,2,0,0]}}
[55,0,10,0,1]}}
[51,1,2,0,0]}}
[54,1,4,0,0]}}
[54,1,13,0,0]}}
[53,7,0,2,0]}}
[53,3,0,0,0]}}
[65,4,0,0,0]}}
[68,4,0,1,0]}}
[79,2,1,1,0]}}
[58,1,3,0,0]}}
[59,1,2,0,0]}}
[67,0,5,0,0]}}
[66,0,4,0,0]}}
[78,13,21,3,0]}}
[57,17,10,1,0]}}
[54,4,12,0,0]}}
[47,2,23,0,0]}}
[63,3,19,0,0]}}
[56,0,0,0,0]}}
[59,0,0,0,1]}}
[65,0,0,0,1]}}
[62,0,1,0,3]}}
[53,41,1,0,0]}}
[59,3,0,0,2]}}
[61,2,0,0,2]}}
[69,2,1,0,4]}}
[63,2,1,0,4]}}
[74,4,1,0,8]}}
[56,4,4,2,0]}}
[66,5,3,1,0]}}
[44,0,0,0,0]}}
[57,2,0,0,1]}}
[48,1,0,0,1]}}
[46,1,0,0,1]}}
[55,1,0,0,2]}}
[55,2,0,0,5]}}
[56,3,0,0,8]}}
[50,11,0,0,0]}}
[77,33,1,0,1]}}
[51,14,0,0,0]}}
[56,21,0,0,0]}}
[57,35,1,0,0]}}
[65,53,1,0,1]}}
[73,68,1,0,2]}}
[56,9,5,1,0]}}
[1,59,2,0,2]}}
[12,69,5,0,7]}}
[8,53,5,0,6]}}
[5,62,14,0,11]}}
[61,0,0,0,0]}}
[59,1,0,0,0]}}
[62,0,0,0,1]}}
[57,1,0,0,0]}}
[54,1,0,0,1]}}
